"","Population","Sample","Lon","Lat"
"395","VBU","VBU24",142.18,-36.82
"396","VBU","VBU25",142.18,-36.82
"397","VBU","VBU26B",142.18,-36.82
"398","VBU","VBU27",142.18,-36.82
"399","VBU","VBU29",142.18,-36.82
"400","VBU","VBU30",142.18,-36.82
"401","VBU","VBU31B",142.18,-36.82
"402","VBU","VBU32",142.18,-36.82
"403","VBU","VBU34",142.18,-36.82
"404","VBU","VBU35B",142.18,-36.82
"405","VDB","VDB52D",145.68,-36.4
"406","VDB","VDB54D",145.68,-36.4
"407","VDB","VDB56D",145.68,-36.4
"408","VDB","VDB58D",145.68,-36.4
"409","VDB","VDB60D",145.68,-36.4
"410","VDB","VDB61D",145.68,-36.4
"411","VDB","VDB62D",145.68,-36.4
"412","VDB","VDB63D",145.68,-36.4
"413","VDB","VDB64D",145.68,-36.4
"414","VDB","VDB65D",145.68,-36.4
"415","VDB","VDB67D",145.68,-36.4
"416","VDB","VDB69D",145.68,-36.4
"417","VDB","VDB70D",145.68,-36.4
"418","VDB","VDO01B",145.68,-36.4
"419","VDB","VDO04B",145.68,-36.4
"420","VDB","VDO07B",145.68,-36.4
"421","VDB","VDO08",145.68,-36.4
"422","VDB","VDO11B",145.68,-36.4
"423","VDB","VDO13",145.68,-36.4
"424","VDB","VDO14",145.68,-36.4
"425","VDB","VDO15B",145.68,-36.4
"426","VDB","VDO17B",145.68,-36.4
"427","VDB","VDO18",145.68,-36.4
"428","VDB","VDO20B",145.68,-36.4
"429","VDB","VDO21",145.68,-36.4
"430","VDB","VDO22",145.68,-36.4
"431","VDB","VDO23B",145.68,-36.4
"432","VDB","VDO24",145.68,-36.4
"433","VDB","VDO26",145.68,-36.4
"434","VDB","VDO27",145.68,-36.4
"435","VDB","VDO28",145.68,-36.4
"436","VDB","VDO29",145.68,-36.4
"437","VDB","VDO30",145.68,-36.4
"438","VGL","VGL01",143.53,-37.1
"439","VGL","VGL02",143.53,-37.1
"440","VGL","VGL03",143.53,-37.1
"441","VGL","VGL04",143.53,-37.1
"442","VGL","VGL05",143.53,-37.1
"443","VGL","VGL07",143.53,-37.1
"444","VGL","VGL08",143.53,-37.1
"445","VGL","VGL09",143.53,-37.1
"446","VGL","VGL10",143.53,-37.1
"447","VGL","VGL11",143.53,-37.1
"448","VGL","VGL12",143.53,-37.1
"449","VGL","VGL13",143.53,-37.1
"450","VGL","VGL14",143.53,-37.1
"451","VGL","VGL16",143.53,-37.1
"452","VGL","VGL17",143.53,-37.1
"453","VGL","VGL18",143.53,-37.1
"454","VGL","VGL19",143.53,-37.1
"455","VGL","VGL20",143.53,-37.1
"456","VGL","VGL22",143.53,-37.1
"457","VGL","VGL24",143.53,-37.1
"458","VGL","VGL26",143.53,-37.1
"459","VGL","VGL27",143.53,-37.1
"460","VGL","VGL28",143.53,-37.1
"461","VGL","VGL29",143.53,-37.1
"462","VGL","VGL30",143.53,-37.1
"463","VMA","VMA01",141.82,-36.77
"464","VMA","VMA03",141.82,-36.77
"465","VMA","VMA05",141.82,-36.77
"466","VMA","VMA08",141.82,-36.77
"467","VMA","VMA09",141.82,-36.77
"468","VMA","VMA10",141.82,-36.77
"469","VMA","VMA12",141.82,-36.77
"470","VMA","VMA13",141.82,-36.77
"471","VMA","VMA14",141.82,-36.77
"472","VMA","VMA15",141.82,-36.77
"473","VMA","VMA18",141.82,-36.77
"474","VMA","VMA19",141.82,-36.77
"475","VMA","VMA20",141.82,-36.77
"476","VMA","VMA21",141.82,-36.77
"477","VMA","VMA23",141.82,-36.77
"478","VMA","VMA24",141.82,-36.77
